Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count,log_Critic_count,log_Critic_Score,log_Critic_count_is_bad,log_Critic_Score_is_bad,User_Count_is_bad,Small_Publisher,Medium_Publisher,Big_Publisher
GBA,2003.0,Platform,2.93,1.25,0.83,0.2,5.2,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
DS,2007.0,Puzzle,1.21,2.43,1.03,0.52,5.19,147.0,4.276666119016055,4.442651256490317,0,0,0,0,0,0
GB,1994.0,Platform,2.49,0.98,1.57,0.15,5.19,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2012.0,Action,1.09,3.47,0.03,0.57,5.16,403.0,3.871201010907891,4.499809670330265,0,0,0,0,0,0
SNES,1995.0,Platform,2.1,0.74,2.2,0.11,5.15,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PC,2012.0,Role-Playing,2.44,2.16,0.0,0.54,5.14,9629.0,4.454347296253507,4.477336814478207,0,0,0,0,0,0
PS2,2003.0,Shooter,1.98,2.23,0.13,0.8,5.13,100.0,3.4011973816621555,4.219507705176107,0,0,0,0,0,0
GB,1992.0,Platform,2.71,0.61,1.7,0.11,5.13,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PC,1996.0,Simulation,3.22,1.69,0.0,0.2,5.12,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
PS2,2006.0,Misc,3.81,0.63,0.0,0.68,5.12,112.0,4.23410650459726,4.5217885770490405,0,0,0,1,0,0
X360,2010.0,Role-Playing,3.59,1.08,0.05,0.38,5.1,604.0,4.477336814478207,4.382026634673881,0,0,0,0,0,1
DS,2008.0,Sports,1.63,2.45,0.44,0.57,5.09,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS3,2009.0,Action,1.96,1.41,1.08,0.64,5.09,667.0,4.330733340286331,4.430816798843313,0,0,0,0,0,0
DS,2007.0,Action,1.85,1.8,0.95,0.48,5.08,416.0,4.04305126783455,4.499809670330265,0,0,0,0,0,0
GB,1999.0,Platform,3.4,1.3,0.15,0.22,5.07,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS3,2010.0,Sports,0.61,3.28,0.06,1.12,5.07,233.0,3.9318256327243257,4.48863636973214,0,0,0,0,0,0
PS,1996.0,Action,2.05,1.16,1.11,0.73,5.05,266.0,2.0794415416798357,4.51085950651685,0,0,0,0,1,0
PSP,2006.0,Action,1.7,1.99,0.16,1.18,5.03,150.0,3.912023005428146,4.454347296253507,0,0,0,0,0,0
PS,1999.0,Sports,3.42,1.38,0.02,0.2,5.02,69.0,2.8903717578961645,4.5217885770490405,0,0,0,0,0,0
PS,1999.0,Strategy,2.79,1.89,0.0,0.33,5.01,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
PS,1998.0,Platform,3.36,1.36,0.07,0.21,5.0,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2007.0,Misc,3.49,0.01,0.01,1.48,4.98,46.0,3.1780538303479458,4.406719247264253,0,0,0,0,0,0
Wii,2007.0,Shooter,3.05,1.17,0.29,0.46,4.98,47.0,3.5263605246161616,4.219507705176107,0,0,0,0,0,0
DS,2007.0,Role-Playing,1.83,1.19,1.54,0.37,4.93,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
X360,2008.0,Role-Playing,3.4,0.99,0.09,0.45,4.93,1655.0,4.430816798843313,4.532599493153256,0,0,0,0,1,0
PS3,2007.0,Action,2.31,1.72,0.12,0.77,4.92,2306.0,4.189654742026425,4.477336814478207,0,0,0,0,0,0
PS2,2005.0,Sports,3.98,0.26,0.01,0.66,4.91,121.0,3.367295829986474,4.477336814478207,0,0,0,0,0,0
N64,1997.0,Racing,2.91,0.99,0.89,0.1,4.88,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PSP,2010.0,Role-Playing,0.0,0.0,4.87,0.0,4.87,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
WiiU,2014.0,Fighting,2.6,1.08,0.81,0.38,4.87,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
NES,1990.0,Puzzle,2.62,0.6,1.52,0.1,4.85,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PC,2010.0,Strategy,2.57,1.68,0.0,0.58,4.84,3052.0,4.406719247264253,4.532599493153256,0,0,0,0,0,0
PS3,2007.0,Adventure,1.91,2.0,0.09,0.82,4.82,769.0,3.6888794541139363,4.394449154672439,0,0,0,0,0,0
PS3,2010.0,Action,2.74,1.33,0.12,0.61,4.8,2633.0,4.61512051684126,4.5217885770490405,0,0,0,0,0,0
PS,1999.0,Racing,2.57,1.57,0.44,0.21,4.79,233.0,2.995732273553991,4.477336814478207,0,0,0,0,0,0
DS,2007.0,Action,2.83,1.48,0.0,0.45,4.76,46.0,2.1972245773362196,4.382026634673881,0,0,0,0,1,0
PS,2000.0,Action,2.36,2.1,0.02,0.25,4.73,92.0,2.6390573296152584,4.127134385045092,0,0,0,0,0,0
X360,2011.0,Action,2.99,1.27,0.04,0.42,4.73,1472.0,4.465908118654584,4.543294782270004,0,0,0,0,0,1
PS4,2014.0,Action,1.88,2.0,0.07,0.77,4.71,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
PS2,2003.0,Racing,1.73,2.19,0.0,0.79,4.7,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,1
PS,2000.0,Sports,3.05,1.41,0.02,0.2,4.68,299.0,2.9444389791664403,4.584967478670572,0,0,0,0,0,0
PS2,2002.0,Action,1.94,1.95,0.08,0.7,4.67,78.0,3.4657359027997265,4.406719247264253,0,0,0,0,0,0
PS,1996.0,Action,2.29,1.97,0.13,0.24,4.63,147.0,2.5649493574615367,4.51085950651685,0,0,0,0,0,1
Wii,2008.0,Simulation,1.82,1.12,1.32,0.36,4.62,119.0,3.912023005428146,4.290459441148391,0,0,0,0,0,0
PS4,2015.0,Action,2.07,1.71,0.08,0.76,4.62,1264.0,4.356708826689592,4.454347296253507,0,0,0,0,0,0
SNES,1991.0,Action,2.42,0.91,1.15,0.13,4.61,162.22990777338603,2.999073846901081,4.209473102829448,1,1,1,0,0,0
GC,2002.0,Action,2.6,0.99,0.89,0.13,4.6,968.0,4.382026634673881,4.564348191467836,0,0,0,0,0,0
